ID,Name,Price,"Quantity on Hand"
1,"Pullman Brown Sleeper Sofa","$1,279.99",237
2,"Dark cornflower blue Nightstand",$81.99,87
3,"Papaya whip Chaise Lounge",$235.99,199
4,"Pine tree Plant Stand",$42.99,149
5,"Pastel pink Bed",$389.99,113
6,"Queen pink Bench",$114.99,158
7,"Amaranth red Sectional","$1,039.99",63
8,"Periwinkle End Table",$99.99,103
9,"Rebecca Purple Storage Bench",$194.99,35
10,"Acid green Bench",$114.99,203
11,"Light gray Sofa",$1249.99,91
12,"Navy blue End Table",$99.99,245
13,"Rose pink Dining Table",$800,183
14,"Citrine Chaise Lounge",$235.99,105
15,"Royal purple Chaise Lounge",$235.99,232
16,"UP maroon Wardrobe",$719.99,50
17,"Ivory Nightstand",$81.99,127
18,"Pastel pink Loveseat",$669.99,238
19,"French lime Ottoman",$92.99,228
20,"Baker-Miller pink Loveseat",$669.99,131
21,"Persian orange Sleeper Sofa","$1,279.99",98
22,"Pine tree Headboard",$222.99,192
23,"Violet Stool",$54.99,73
24,"Corn Sectional","$1,039.99",45
25,"Dark sky blue End Table",$99.99,162
26,"Malachite green Coffee Table",$222.95,43
27,"Trypan Blue Futon",$419.99,33
28,"Hunter green Coffee Table",$222.95,45
29,"Spring bud Crib",$289,235
30,"Super pink Stool",$54.99,237
31,"Honeydew Stool",$54.99,178
32,"Harvard Crimson Futon",$419.99,49
33,"Jasmine End Table",$99.99,165
34,"Unmellow yellow Sleeper Sofa","$1,279.99",58
35,"Wheat gold Bench",$114.99,58
36,"Pansy purple End Table",$99.99,59
37,"Eggshell Loveseat",$669.99,180
38,"Burnt umber Stool",$54.99,138
39,"Mahogany Chaise Lounge",$235.99,208
40,"Lime green Stool",$54.99,106
41,"Cobalt blue Wardrobe",$719.99,121
42,"Shadow blue Chaise Lounge",$235.99,202
43,"Pakistan green Sectional","$1,039.99",112
44,"English green Dining Table",$800,217
45,"Persian green Sectional","$1,039.99",111
46,"Golden brown Ottoman",$92.99,67
47,"Fawn Ottoman",$92.99,51
48,"Chartreuse End Table",$99.99,64
49,"Aqua Sectional","$1,039.99",231
50,"White Daybed",$711.99,175
51,"China pink Nightstand",$81.99,178
52,"English lavender Stool",$54.99,145
53,"Dartmouth green Dresser",$599.99,134
54,"Peach Ottoman",$92.99,162
55,"Dark salmon Storage Bench",$194.99,97
56,"Mellow apricot Dining Table",$800,185
57,"Old silver Futon",$419.99,97
58,"Fuchsia Dresser",$599.99,73
59,"Sky blue Coffee Table",$222.95,244
60,"Neon Carrot Plant Stand",$42.99,250
61,"Dark pastel green End Table",$99.99,28
62,"Naples yellow Dining Table",$800,213
63,"French blue Reclining Loveseat","$1,023.99",85
64,"Razzmatazz Headboard",$222.99,195
65,"Phthalo green Plant Stand",$42.99,200
66,"Chestnut Wardrobe",$719.99,147
67,"Opal Sleeper Sofa","$1,279.99",77
68,"Mustard yellow Loveseat",$669.99,244
69,"Non-photo blue Storage Bench",$194.99,238
70,"Middle yellow Reclining Sofa","$1,119.99",163
71,"Raw sienna Sectional","$1,039.99",85
72,"Chestnut Sectional","$1,039.99",135
73,"Queen blue Dining Table",$800,48
74,"Lavender gray Plant Stand",$42.99,86
75,"Dogwood rose Coffee Table",$222.95,37
76,"Indian red Dresser",$599.99,173
77,"Blood red Dining Chair",$89.99,60
78,"Viridian green Dining Chair",$89.99,227
79,"Cerulean frost Sofa",$1249.99,138
80,"Neon green Nightstand",$81.99,30
81,"Coral pink Futon",$419.99,197
82,"Wintergreen Dream End Table",$99.99,207
83,"Pale silver Reclining Loveseat","$1,023.99",148
84,"Olive green Nightstand",$81.99,49
85,"Sandy brown Wardrobe",$719.99,132
86,"Persian orange Coffee Table",$222.95,41
87,"French bistre Plant Stand",$42.99,87
88,"White Dining Table",$800,227
89,"Lime green Crib",$289,192
90,"Tuscan brown Storage Bench",$194.99,204
91,"Bright lilac Headboard",$222.99,221
92,"UA blue Reclining Loveseat","$1,023.99",32
93,"Nickel Sectional","$1,039.99",45
94,"Lime green Daybed",$711.99,130
95,"Quick Silver Stool",$54.99,29
96,"Blanched almond Chaise Lounge",$235.99,99
97,"Silver Sectional","$1,039.99",224
98,"Spanish carmine Dining Chair",$89.99,147
99,"Rose taupe Loveseat",$669.99,174
100,"June bud Bench",$114.99,68
101,"Cocoa brown Plant Stand",$42.99,100
102,"Linen Sectional","$1,039.99",96
103,"Medium blue Dining Table",$800,250
104,"Lime green Sleeper Sofa","$1,279.99",37
105,"Steel blue Coffee Table",$222.95,241
106,"Brown sugar Coffee Table",$222.95,67
107,"Dark blue-gray Sectional","$1,039.99",90
108,"Cyber yellow Plant Stand",$42.99,171
109,"Caribbean green Reclining Sofa","$1,119.99",155
110,"Metallic Seaweed Sleeper Sofa","$1,279.99",45
111,"Medium blue Daybed",$711.99,111
112,"Light French beige Sectional","$1,039.99",68
113,"Mulberry Bed",$389.99,230
114,"Palatinate purple Wardrobe",$719.99,142
115,"Solid pink Loveseat",$669.99,30
116,"Deep taupe Nightstand",$81.99,186
117,"Bright yellow Reclining Sofa","$1,119.99",81
118,"Selective yellow Futon",$419.99,152
119,"Piggy pink Bench",$114.99,245
120,"Pale purple Chaise Lounge",$235.99,71
121,"Copper penny Sectional","$1,039.99",127
122,"Dark brown Ottoman",$92.99,103
123,"Tuscan tan Dining Table",$800,124
124,"Royal blue Loveseat",$669.99,90
125,"Dark goldenrod Daybed",$711.99,27
126,"Light goldenrod yellow Stool",$54.99,181
127,"Minion yellow Crib",$289,146
128,"Mellow apricot Coffee Table",$222.95,35
129,"Slimy green Sleeper Sofa","$1,279.99",120
130,"Lemon curry Chaise Lounge",$235.99,26
131,"Pale cerulean Wardrobe",$719.99,100
132,"Vanilla ice Bed",$389.99,241
133,"Red Salsa Coffee Table",$222.95,147
134,"Honolulu blue Ottoman",$92.99,158
135,"Dark salmon Bench",$114.99,173
136,"Dim gray Headboard",$222.99,91
137,"Flame Dining Table",$800,53
138,"Persian green Storage Bench",$194.99,34
139,"French lilac Loveseat",$669.99,74
140,"Burnt orange Loveseat",$669.99,178
141,"Spring Frost Loveseat",$669.99,105
142,"Air superiority blue Headboard",$222.99,87
143,"Selective yellow End Table",$99.99,84
144,"Dark violet Bench",$114.99,153
145,"Fuzzy Wuzzy brown Futon",$419.99,99
146,"Laser lemon Dining Chair",$89.99,35
147,"Burnished brown Loveseat",$669.99,130
148,"Schauss pink Daybed",$711.99,123
149,"Minion yellow Stool",$54.99,114
150,"Congo pink Coffee Table",$222.95,141
151,"Tangerine Bench",$114.99,121
152,"Lava End Table",$99.99,33
153,"Pale purple Loveseat",$669.99,163
154,"Space cadet blue Dresser",$599.99,38
155,"Candy pink Sofa",$1249.99,26
156,"Purple navy End Table",$99.99,128
157,"May green Dresser",$599.99,119
158,"Brilliant rose Coffee Table",$222.95,171
159,"Portland Orange Reclining Loveseat","$1,023.99",142
160,"Baby pink Daybed",$711.99,72
161,"Android green Crib",$289,77
162,"Dark salmon Reclining Loveseat","$1,023.99",237
163,"Rusty red Daybed",$711.99,65
164,"Rifle green End Table",$99.99,107
165,"Strawberry Plant Stand",$42.99,219
166,"Green Daybed",$711.99,25
167,"Vanilla ice Wardrobe",$719.99,110
168,"Gray Sofa",$1249.99,111
169,"Onyx Stool",$54.99,188
170,"Russet brown Sleeper Sofa","$1,279.99",142
171,"Aqua Reclining Loveseat","$1,023.99",191
172,"Snow white Reclining Sofa","$1,119.99",119
173,"Mango Stool",$54.99,87
174,"Dark jungle green Bench",$114.99,124
175,"Ultramarine Reclining Sofa","$1,119.99",109
176,"Raspberry Bench",$114.99,246
177,"Brandy Dining Table",$800,122
178,"Azure Storage Bench",$194.99,134
179,"Ruby red Reclining Sofa","$1,119.99",86
180,"St. Patrick's blue Stool",$54.99,76
181,"Sheen green Reclining Sofa","$1,119.99",149
182,"Peach Sofa",$1249.99,107
183,"Yellow Dining Table",$800,190
184,"Eton blue Plant Stand",$42.99,91
185,"Old rose Nightstand",$81.99,101
186,"Slate gray Sleeper Sofa","$1,279.99",73
187,"Seashell Storage Bench",$194.99,234
188,"Slate gray Futon",$419.99,152
189,"Light gray Reclining Loveseat","$1,023.99",88
190,"Persian plum Stool",$54.99,229
191,"Violet-blue Storage Bench",$194.99,164
192,"Shiny Shamrock Sectional","$1,039.99",189
193,"Dark electric blue Dining Chair",$89.99,249
194,"Dark violet Reclining Loveseat","$1,023.99",137
195,"Cerulean blue Stool",$54.99,121
196,"Mauve Stool",$54.99,173
197,"Bleu de France End Table",$99.99,209
198,"Syracuse Orange Coffee Table",$222.95,44
199,"Azure Headboard",$222.99,118
200,"French beige Daybed",$711.99,77
201,"Non-photo blue Loveseat",$669.99,77
202,"Cinnamon Satin Bed",$389.99,228
203,"UP Forest green End Table",$99.99,237
204,"Tyrian purple Bench",$114.99,124
205,"Chestnut Loveseat",$669.99,59
206,"Ivory Sectional","$1,039.99",76
207,"UA red Headboard",$222.99,165
208,"Spring bud Sofa",$1249.99,175
209,"Violet-blue Nightstand",$81.99,115
210,"Heliotrope gray Chaise Lounge",$235.99,43
211,"Spanish orange End Table",$99.99,65
212,"Hunter green End Table",$99.99,172
213,"Pale silver End Table",$99.99,85
214,"Red Nightstand",$81.99,163
215,"Goldenrod Storage Bench",$194.99,110
216,"Jazzberry jam Sleeper Sofa","$1,279.99",194
217,"Robin egg blue Headboard",$222.99,111
218,"Black coral Dining Chair",$89.99,152
219,"Quinacridone magenta Headboard",$222.99,186
220,"Lavender Daybed",$711.99,237
221,"Cream Dining Table",$800,89
222,"Dark magenta Storage Bench",$194.99,103
223,"Twilight lavender Bench",$114.99,64
224,"Teal Daybed",$711.99,59
225,"MSU green Daybed",$711.99,100
226,"Magic mint End Table",$99.99,232
227,"Salmon pink Ottoman",$92.99,121
228,"Corn Nightstand",$81.99,183
229,"UP maroon Sleeper Sofa","$1,279.99",93
230,"Ultra pink Chaise Lounge",$235.99,84
231,"Light goldenrod yellow Wardrobe",$719.99,65
232,"Army green Storage Bench",$194.99,170
233,"Mantis green Crib",$289,178
234,"Cedar Chest Headboard",$222.99,111
235,"Cotton candy Dining Table",$800,167
236,"Shimmering Blush Bench",$114.99,34
237,"Coral pink Headboard",$222.99,92
238,"Bitter lime Nightstand",$81.99,191
239,"Spanish orange Futon",$419.99,239
240,"Light sea green Bench",$114.99,181
241,"Coral Stool",$54.99,31
242,"Canary yellow Coffee Table",$222.95,127
243,"Cerulean blue Headboard",$222.99,211
244,"Dark purple Sofa",$1249.99,240
245,"Asparagus green Futon",$419.99,183
246,"Thistle grey Bench",$114.99,216
247,"Light sky blue Dresser",$599.99,179
248,"Cardinal Stool",$54.99,111
249,"Vivid tangerine Storage Bench",$194.99,88
250,"Linen Sectional","$1,039.99",211
251,"Golden yellow Bench",$114.99,44
252,"Neon Carrot Loveseat",$669.99,93
253,"Old gold Wardrobe",$719.99,238
254,"Lemon curry Storage Bench",$194.99,208
255,"Raspberry glace Nightstand",$81.99,183
