OID,PID
1,130
1,3528
1,1307
1,1307
2,780
2,780
2,780
2,3458
2,377
2,377
2,2101
2,2101
3,665
3,665
3,665
3,360
3,1910
4,3785
4,3785
4,3785
4,4001
4,4001
4,4001
4,1556
5,3405
5,3405
5,1176
5,1176
5,1078
5,1078
5,782
5,782
5,782
5,1447
5,1447
6,3258
7,153
7,153
7,1769
7,3544
7,1283
7,1283
7,2113
7,2113
8,3882
8,3882
8,3882
8,338
8,338
8,3055
8,3055
8,3055
8,3886
8,3886
8,3886
8,2021
8,2021
8,2021
9,894
9,894
9,11
9,11
10,3610
10,3610
10,3610
10,3068
10,3068
10,3068
10,1385
10,2203
10,2203
10,2203
10,3147
11,3549
11,3549
11,3549
11,535
11,535
11,535
11,3043
11,3043
11,3043
11,171
11,1959
12,2105
12,2105
12,2105
12,1923
12,1923
12,857
12,857
12,3872
13,2772
13,2772
14,2401
14,1931
14,3311
14,3311
15,941
15,2761
15,2761
15,2989
15,2989
15,2989
15,3959
15,3959
15,2610
15,2610
16,380
16,380
16,380
16,357
16,357
16,2922
17,3443
17,3443
18,1755
18,1755
19,3763
19,3763
19,3859
19,3859
19,3859
19,2506
19,2506
19,1584
19,1584
20,2470
20,2470
20,2470
20,1921
20,2291
20,2291
20,2291
20,2208
20,2208
20,2208
21,131
21,131
21,131
22,2041
22,2041
22,3400
22,3400
22,2135
22,2135
23,137
23,2718
23,2718
23,2718
23,3114
23,3114
23,3114
24,1466
24,1466
24,1466
25,1899
25,1899
25,1899
25,1359
25,1359
25,2167
25,2167
25,2167
25,1213
25,1213
25,570
26,3255
26,3255
26,1958
26,1958
26,1958
26,2826
26,3313
26,3313
26,3313
26,608
26,608
27,3804
27,3804
27,3176
27,3176
27,785
27,785
27,785
27,2219
27,2219
28,1657
28,3453
29,1461
29,1839
29,1839
29,1839
29,1327
29,2455
29,2455
29,2893
30,3395
30,3395
30,3395
30,1617
30,1617
30,1617
30,1779
30,1779
30,1779
30,838
30,838
30,838
31,3284
32,3748
32,3748
32,3748
32,449
32,2474
32,2474
32,2474
33,836
33,836
33,836
33,2526
33,1206
33,1206
33,3435
33,3435
34,1893
34,1893
34,1261
34,3106
34,3106
35,2519
35,2286
35,2286
35,2286
35,3471
35,3471
35,3471
35,2076
35,2076
35,2449
35,2449
36,1799
36,1799
36,1799
36,1569
36,1569
36,2682
36,1218
36,1218
36,3318
36,3318
37,3775
37,3775
37,2180
37,1044
37,3435
37,3223
37,3223
38,2478
39,1811
39,1811
39,1811
39,2016
39,3412
39,3412
39,1783
39,1783
39,1783
39,1901
39,1901
39,1901
40,183
40,183
40,183
40,2881
40,2881
40,2881
41,2178
41,2178
42,1710
42,1710
42,1710
42,2930
42,2930
42,2930
42,2609
42,2609
42,2609
42,2306
42,2306
42,2306
43,101
43,101
43,1418
43,3431
43,3431
43,3431
43,1051
43,1051
43,1051
43,2143
44,1334
44,1334
44,1334
44,2865
44,2865
44,2865
45,1716
45,2067
45,2267
45,2267
45,2267
46,442
46,2215
46,2215
46,2215
46,2791
46,2791
46,2791
47,538
47,538
47,626
47,626
47,3331
47,3331
48,54
48,54
48,2562
49,2152
49,2152
49,2152
50,3445
50,3445
50,1931
50,1931
50,1931
51,1221
51,1221
51,2510
51,2510
51,1913
52,486
52,103
52,3006
52,3006
52,3006
52,2312
52,2312
52,2312
53,892
53,892
53,76
53,76
53,1458
53,3905
53,3696
53,3696
54,235
54,235
54,235
54,3153
54,1020
54,2732
54,2732
54,3535
54,3535
55,815
55,1347
55,1347
55,1066
55,3722
56,1594
56,1594
57,3990
57,3990
57,3990
57,1357
57,1357
57,3460
57,3460
57,3460
57,469
57,98
58,3985
58,2765
58,2765
58,2047
58,2047
59,2556
59,2556
59,2556
59,1296
59,434
59,2615
59,779
60,1456
60,1456
61,616
61,616
61,616
61,3671
62,2238
62,683
62,683
62,683
62,254
62,254
62,254
62,1511
63,1614
63,1821
63,2608
63,295
63,295
63,295
63,538
63,538
64,1755
64,2653
64,2653
64,1811
64,1811
64,3674
64,3674
64,3674
65,2608
65,2608
65,2608
65,3922
65,709
65,709
65,709
65,2204
65,2204
65,2204
66,107
66,107
66,107
66,1365
67,2291
67,2291
67,2291
67,929
67,1753
68,2531
68,2531
68,2531
69,1200
69,1200
69,1200
69,1292
69,560
69,560
69,560
69,3626
69,3626
69,2578
70,240
70,233
70,233
70,233
71,579
71,579
72,2558
72,2558
72,307
73,3933
73,3451
73,375
73,375
73,1434
73,1434
73,1434
73,1592
74,3504
74,3504
74,3504
74,200
74,200
75,1063
75,1063
75,2742
75,2742
75,2742
75,458
75,458
76,1818
76,1310
76,1310
77,916
77,916
77,1711
77,1711
77,1555
77,545
77,453
78,3405
78,3405
78,815
78,815
78,3491
78,3491
78,3491
78,1461
79,3805
79,3805
79,3805
79,4017
79,4017
79,1568
80,1746
80,1746
80,1746
81,2129
81,2129
81,1211
81,2653
81,3710
81,3710
81,3710
82,2531
82,2531
82,2531
82,993
82,993
83,1740
83,1740
84,3025
85,3654
85,3654
85,3654
85,247
85,247
85,2706
86,326
86,326
86,2202
86,2202
86,3947
86,3947
86,3447
86,3447
87,1266
87,1266
87,81
87,81
87,81
87,2531
87,2531
87,2531
88,3355
88,3355
89,2352
89,2352
90,2956
90,473
90,473
